Annee;Site;Type;Dose;Répétition;Rendement;B;Ca;Cu;Fe;K;Mg;Mn;P;Zn;N;C;S
2015;A9;P;30;1;30.85;62.87;5701.781;1.161;109.331;4047.966;1829.543;149.460;859.016;66.427;11125.00;504150.00;957.30
2015;A9;P;30;2;26.52;60.29;5455.726;1.156;76.102;3684.369;2072.309;169.731;953.169;72.159;12236.00;510070.00;1090.10
2015;A9;K;0;1;37.09;67.06;5624.494;1.090;111.223;3509.582;1868.738;141.354;852.895;61.937;11927.00;507210.00;852.70
2015;A9;K;0;2;23.72;71.38;5333.914;1.884;77.669;3511.809;2369.883;187.485;961.852;61.602;12146.00;503180.00;840.50
2015;A9;K;40;1;32.68;68.17;5853.195;1.415;136.157;3472.945;2208.316;190.855;880.134;85.971;11267.00;506280.00;746.30
2015;A9;K;40;2;29.38;57.28;5110.652;1.262;40.294;3682.821;1893.175;167.131;893.657;69.702;11295.00;500660.00;969.40
2015;A9;K;80;1;35.92;81.27;5107.233;0.781;82.773;4109.043;2001.868;144.214;849.588;72.812;11857.00;510190.00;865.70
2015;A9;K;80;2;24.09;63.05;5512.046;1.227;31.602;3684.537;2132.039;187.630;959.254;67.562;12020.00;506320.00;957.60
2015;A9;K;120;1;24.93;61.23;5179.991;1.125;66.986;3961.622;1874.007;140.983;816.715;59.563;11218.00;507010.00;1020.30
2015;A9;K;120;2;32.51;49.58;4703.599;2.016;37.172;3723.674;1735.006;127.236;957.746;49.747;13011.00;510880.00;831.20
2015;A9;B;0;1;28.83;42.31;5308.571;1.132;72.302;3896.268;2002.697;162.923;884.498;45.475;10276.00;502220.00;697.00
2015;A9;B;0;2;34.25;28.49;5146.275;0.399;93.859;3727.002;1939.382;146.224;841.399;59.324;11405.00;507440.00;887.40
2015;A9;B;1;1;31.66;57.83;5166.539;5.076;54.197;4584.478;1575.689;146.329;778.459;55.073;12358.00;509790.00;944.80
